summaries|pros|cons|adviceMgmt|ratings
Has all the best and worst of a Fortune 50 corporation|Work/life balance. Benefits: Very Generous. Lots of PTO. Your health care is essentially free. Co-workers are nearly great people. Managers are generally helpful and supportive. I am 2 out of 3 have been good.|Compensation is below market value. If you are salaried be prepared to be disappointed with very low merit increases. Company is subsumed by political correctness - if you are a huge Leftie you'll love it here. Promotions are NOT merit based. Far too much favoritism. Management on top is very egotistical and does not listen. Intermediate director level mostly better. Overall, things at Kaiser Permanente move at very glacial pace. Do not expect quick advancement - except if you are part of the favored.|We don't need outside consultant to solve our thornier problems. Director level and above - stop managing up. Leadership needs to better connect with problems on the front line. Management/Leadership spends FAR TOO MUCH TIME in meetings and not in enough in staying connected down the pyramid.|4.0
I love the structure of the nursing staff.|Many locations available, many opportunities to experience different departments. Medical insurance for full time. Retirements programs.|Few openings. Lots of competition with younger new graduates. Nice environment for enriching my extended experience. Offers opportunity to transfer to other departments if you qualify.|Good place to work.|5.0
Poor leadership|Benefits and pay is what keeps Kaiser staffed|Leadership does not care for morale and employee advocacy. Management does not adhere to UNION policies. Employees are overworked and disgruntled by poor leadership|Get new management/supervisors that are advocates for employees|2.0
RN|Valuable job experience gain. Room for professional growth.|Minimal support from team, leadership, organization for job improvement and troubleshooting road blocks at work.|Address problems that need to be fixed.|3.0
Dental|Excellent benefits. Opportunity to advance either in career or education.|Union, so some workers become complacent knowing it takes an act of congress to get fired!|Learn the slackers! They bring down morale for everyone when it seems they get away with laziness!|5.0
Records Admin|Opportunities to learn new skills|Supervisors can be very insensitive.||2.0
Vice President|Great place to work and team atomosphere!|There are not any cons.|Keep up the great work|4.0
KP review|Great benefits and salary, nice facility|Terrible access issues in some depts||3.0
Couldn't be happier!|Good pay, great benefits. Coworkers are all fantastic.|Change happens very slowly. People stick around so long that advancing can be difficult.||5.0
Volunteer postiotion|it gave me so much experience and i loved it, it was a pretty chill job|sometimes people would talk to you, and it would be hard to understand the people with accents but other than that it was a fun experience||4.0
Nursing pathway|Great educational opportunities and continuing education|Not much discount with affiliates/schools|Develop talents within|4.0
